sentences,label
"so do i. i like here because i can watch football matches , most weekends ",2
there are many wonderful places for shopping in new york and i 've been to a lot of museums . i like living here . ,2
"hi nancy , i work very hard , i get results . i do much more than i really should and nobody notices anyway , i did n't get the promotion this time . ",1
what is it frank ? you look upset .  | frank i think you need talk with the boss . at least ask for a pay rise or something . ,1
that is right . ,2
"good morning , i was just walking by and saw the sign in the window waitress wanted . ",2
"i 'm afraid you 've got a temperature , madam .  | hopefully not , but you need to take this fever reducer , 2 pills every 6 hours with food . ",0
"oh , dear . is it serious ? ",0
"good morning .  | yes , i worked as a bank clerk for 3 years in the bank of china . i must say that it was a good job .  | i did n't really want to , but my family had to move to another city so i left the bank . ",2
good morning .  | mrs wong can you tell me something about your work experience ?  | why did you leave that job since it was such a good job ? ,2
"mom , sam 's escape from his box . i 've been looking for him all over the house . ",1
you mean the partner i bought you last week ? oh look . he 's climbing the tree . ,1
"honey , you do n't seem to be in a good mood . what 's wrong with you ?  | i certainly have no idea . what did he say to make you so angry ? ",1
"i had a talk with my boss today and i was really angry . i asked him to pay me more each month . and can you guess what he said ?  | he said i was n't good enough for higher pay . i entered the company when i was just 25 years old , and now i 'm 30 years old . should n't i get a pay raise ? ",1
it seems that you have been very busy recently . ,1
"yeah , i work 10 hours a day from monday to thursday . but on friday . i work 7 hours . ",1
"no , but i ca n't stand him anymore . he 's the worst roommate i 've ever had , he never cleans up after himself and he 's always listening to loud music when i try to get some sleep . ",0
what 's going on between you and charlie ? did you have a fight or something ?  | why do n't you have a heart to heart talk with him ? ,0
"here are 2 packages for you from new york , could you please sign your name here ? ",1
"sure , thanks . ",2
"i really like those trousers , but i 'm afraid i do n't have much cash with me . is there a cash point near here please ?  | next to the bank . yes , of course , thank you . ",1
"yes , it 's not far , go out of the shop turn right then right again into avenue dissuade , go up the street to the corner and there on the corner on your right is the cash point next to the bank . there 's a cafe opposite the road . ",1
have you ever taken history 231 ?  | who was the professor ?  | i have him this semester . what do you think of him ? ,1
"yeah , last term .  | professor johnson .  | he 's a terrible instructor and demands a lot . but fortunately , we can get high scores easily in his class . ",1
"hello , can i help you ?  | alright . how long will you need it ?  | have you ever rented a car before ?  | sure , we have toyota carola 's in black , red and silver .  | then you can have the other one . please show me your id card and i will copy it .  | sign your name on the application form and here are the keys to the car . ",1
"i 'd like to rent a toyota carola .  | for 3 days .  | no , i have n't . can i choose the color of the car ?  | i do n't like black or red .  | ok. anything else ? ",1
"what would you like for lunch , miss turner ?  | i do n't wish for much food now .  | no , i had quite a big breakfast this morning . ",1
i would like italian noodles with ham .  | why you are not hungry ? ,1
for what ? ,1
let 's go to mcdonald 's this evening . i 'll treat you to dinner .  | good news ! i won first prize in the singing competition . ,1
"for about 20 years i guess . i 've never had another job . no . never . i 've only been a musician .  | it was when i was just a kid i taught myself to play . i tried a few instruments . first , the drum . that was when i was only 5 in 1981. after that , it was the piano and then later keyboards . ",1
"paul , how long have you been in the music business ?  | how old were you when you started playing ?  | when did you start playing professionally ? ",1
"i like to book a few seats for hamlet , please .  | have you got any seats downstairs ?  | how much are they ?  | are there any seats for $ 2.5 ?  | 4 please .  | what about saturday october twenty first ? ",1
"yes , sir .  | yes , we have .  | $ 3.75 each .  | yes , there are . upstairs . how many ?  | for which night ?  | i can give you 4 seats in row 8 . ",1
would you like to go to the zoo ? ,1
"yes , of course . i like to give all the animals names like birth , the giraffe . but i wish the animals did n't have to be in the zoo . i think it is good when zoos save animals and help make their populations grow . ",2
did you get to talk to the browns about their trip to venezuela ?  | what did they say the weather was like ?  | did you ask how the hotels were ? ,1
"oh yes , they said they had a great time .  | they said it was extremely cool . they suggested that we take some warm clothes .  | it seems they 're excellent and not expensive . ",2
do n't you love sunny days like today ? ,1
"yes , i 'm looking for an engagement ring for my girlfriend .  | not really . i 'm not too good at this kind of stuff .  | she really likes colorful stones . i know that she prefers red and yellow . she likes diamonds . but i think she would also like a ruby or something else that 's really bright .  | gold .  | i like that one . do you have anything with a smaller stone ?  | i think this may be the one . i 'm going to send a photo of it to my mom . ",1
"can i help you with anything ?  | congratulations , that is very exciting . do you know what kind of ring you 're looking for ?  | do you know what she likes ?  | we have some gorgeous ruby rings over here . does she like silver or gold ?  | this one here is really nice . the gold band is on the thinner side .  | this one here has a small stone . there was a nice design on the band , too . ",1
